,US ICD9,System,Description
864,01366,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
865,0138,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
866,01380,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
867,01381,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
868,01382,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
869,01383,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
870,01384,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
871,01385,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
872,01386,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
873,0139,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
874,01390,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
875,01391,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
876,01392,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
877,01393,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
878,01394,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
879,01395,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
880,01396,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
881,014,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
882,0140,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
883,01400,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
884,01401,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
885,01402,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
886,01403,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
887,01404,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
888,01405,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
889,01406,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
890,0148,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
891,01480,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
892,01481,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
893,01482,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
894,01483,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
895,01484,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
896,01485,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
897,01486,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
898,015,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
899,0150,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
900,01500,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
901,01501,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
902,01502,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
903,01503,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
904,01504,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
905,01505,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
906,01506,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
907,0151,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
908,01510,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
909,01511,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
910,01512,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
911,01513,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
912,01514,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
913,01515,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
914,01516,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
915,0152,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
916,01520,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
917,01521,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
918,01522,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
919,01523,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
920,01524,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
921,01525,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
922,01526,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
923,0155,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
924,01550,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
925,01551,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
926,01552,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
927,01553,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
928,01554,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
929,01555,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
930,01556,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
931,0156,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
932,01560,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
933,01561,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
934,01562,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
935,01563,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
936,01564,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
937,01565,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
938,01566,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
939,0157,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
940,01570,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
941,01571,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
942,01572,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
943,01573,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
944,01574,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
945,01575,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
946,01576,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
947,0158,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
948,01580,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
949,01581,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
950,01582,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
951,01583,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
952,01584,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
953,01585,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
954,01586,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
955,0159,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
956,01590,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
957,01591,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
958,01592,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
959,01593,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
960,01594,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
961,01595,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
962,01596,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
963,016,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
964,0160,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
965,01600,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
966,01601,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
967,01602,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
968,01603,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
969,01604,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
970,01605,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
971,01606,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
972,0161,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
973,01610,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
974,01611,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
975,01612,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
976,01613,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
977,01614,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
978,01615,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
979,01616,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
980,0162,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
981,01620,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
982,01621,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
983,01622,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
984,01623,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
985,01624,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
986,01625,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
987,01626,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
988,0163,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
989,01630,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
990,01631,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
991,01632,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
992,01633,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
993,01634,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
994,01635,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
995,01636,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
996,0164,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
997,01640,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
998,01641,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
999,01642,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1000,01643,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1001,01644,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1002,01645,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1003,01646,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1004,0165,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1005,01650,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1006,01651,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1007,01652,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1008,01653,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1009,01654,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1010,01655,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1011,01656,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1012,0166,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1013,01660,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1014,01661,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1015,01662,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1016,01663,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1017,01664,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1018,01665,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1019,01666,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1020,0167,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1021,01670,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1022,01671,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1023,01672,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1024,01673,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1025,01674,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1026,01675,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1027,01676,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1028,0169,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1029,01690,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1030,01691,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1031,01692,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1032,01693,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1033,01694,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1034,01695,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1035,01696,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1036,017,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1037,0170,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1038,01700,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1039,01701,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1040,01702,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1041,01703,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1042,01704,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1043,01705,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1044,01706,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1045,0171,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1046,01710,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1047,01711,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1048,01712,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1049,01713,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1050,01714,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1051,01715,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1052,01716,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1053,0172,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1054,01720,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1055,01721,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1056,01722,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1057,01723,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1058,01724,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1059,01725,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1060,01726,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1061,0173,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1062,01730,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1063,01731,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1064,01732,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1065,01733,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1066,01734,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1067,01735,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1068,01736,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1069,0174,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1070,01740,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1071,01741,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1072,01742,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1073,01743,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1074,01744,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1075,01745,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1076,01746,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1077,0175,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1078,01750,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1079,01751,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1080,01752,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1081,01753,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1082,01754,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1083,01755,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1084,01756,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1085,0176,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1086,01760,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1087,01761,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1088,01762,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1089,01763,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1090,01764,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1091,01765,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1092,01766,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1093,0177,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1094,01770,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1095,01771,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1096,01772,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1097,01773,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1098,01774,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1099,01775,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1100,01776,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1101,0178,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1102,01780,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1103,01781,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1104,01782,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1105,01783,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1106,01784,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1107,01785,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1108,01786,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1109,0179,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1110,01790,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1111,01791,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1112,01792,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1113,01793,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1114,01794,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1115,01795,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1116,01796,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1117,018,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1118,0180,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1119,01800,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1120,01801,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1121,01802,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1122,01803,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1123,01804,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1124,01805,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1125,01806,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1126,0188,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1127,01880,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1128,01881,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1129,01882,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1130,01883,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1131,01884,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1132,01885,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1133,01886,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1134,0189,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1135,01890,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1136,01891,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1137,01892,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1138,01893,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1139,01894,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1140,01895,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1141,01896,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1142,363,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1143,3631,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1144,36313,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1145,364,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1146,3641,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1147,36411,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1148,370,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1149,3703,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1150,37031,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1151,3705,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1152,37059,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1153,37105,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1154,379,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1155,3790,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1156,37909,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1157,420,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1158,4200,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1159,422,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1160,4220,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1161,424,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1162,4249,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1163,42491,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1164,425,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1165,4258,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1166,601,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1167,6014,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1168,711,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1169,7114,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1170,71145,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1171,71146,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1172,71148,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1173,720,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1174,7208,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1175,72081,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1176,730,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1177,7308,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1178,73088,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1179,737,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1180,7374,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1181,73740,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1182,796,Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
1183,7966,Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
1184,767,Certain conditions originating in the perinatal period,Birth trauma
1185,7670,Certain conditions originating in the perinatal period,Birth trauma
1186,7671,Certain conditions originating in the perinatal period,Birth trauma
1187,76711,Certain conditions originating in the perinatal period,Birth trauma
1188,76719,Certain conditions originating in the perinatal period,Birth trauma
1189,7672,Certain conditions originating in the perinatal period,Birth trauma
1190,7673,Certain conditions originating in the perinatal period,Birth trauma
1191,7674,Certain conditions originating in the perinatal period,Birth trauma
1192,7675,Certain conditions originating in the perinatal period,Birth trauma
1193,7676,Certain conditions originating in the perinatal period,Birth trauma
1194,7677,Certain conditions originating in the perinatal period,Birth trauma
1195,7678,Certain conditions originating in the perinatal period,Birth trauma
1196,7679,Certain conditions originating in the perinatal period,Birth trauma
1197,772,Certain conditions originating in the perinatal period,Birth trauma
1198,7721,Certain conditions originating in the perinatal period,Birth trauma
1199,77210,Certain conditions originating in the perinatal period,Birth trauma
1200,7722,Certain conditions originating in the perinatal period,Birth trauma
1201,778,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1202,7780,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1203,7781,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1204,7782,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1205,7783,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1206,7784,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1207,7785,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1208,7786,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1209,7787,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1210,7788,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1211,7789,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
